column1,Days_for_shipping_real,Days_for_shipment_scheduled,Delivery_Status,Late_delivery_risk,shipping_date_DateOrders,Shipping_Mode,Market,Order_Id
181,2,4,Shipping canceled,0,2016-07-03 08:10:00.0000000,Standard Class,USCA,37496
182,6,4,Shipping canceled,0,2016-12-23 08:48:00.0000000,Standard Class,USCA,49075
183,4,4,Shipping canceled,0,2016-09-03 14:02:00.0000000,Standard Class,USCA,41623
184,2,4,Shipping canceled,0,2016-07-29 06:01:00.0000000,Standard Class,USCA,39271
185,4,4,Shipping canceled,0,2016-07-21 10:14:00.0000000,Standard Class,USCA,38598
186,6,4,Shipping canceled,0,2016-07-12 10:26:00.0000000,Standard Class,USCA,37845
448,5,2,Late delivery,1,2016-07-30 14:47:00.0000000,Second Class,USCA,39159
449,2,2,Shipping on time,0,2016-05-22 12:25:00.0000000,Second Class,USCA,34631
450,5,2,Late delivery,1,2016-07-08 20:46:00.0000000,Second Class,USCA,37669
451,6,2,Late delivery,1,2016-08-14 03:12:00.0000000,Second Class,USCA,40085
480,3,2,Late delivery,1,2016-04-16 14:24:00.0000000,Second Class,USCA,32102
481,4,2,Late delivery,1,2016-07-09 05:42:00.0000000,Second Class,USCA,37763
482,3,2,Late delivery,1,2016-07-09 18:08:00.0000000,Second Class,USCA,37867
483,6,2,Late delivery,1,2016-04-16 17:23:00.0000000,Second Class,USCA,31905
484,5,2,Late delivery,1,2016-06-18 10:17:00.0000000,Second Class,USCA,36269
16867,6,2,Late delivery,1,2016-05-31 04:11:00.0000000,Second Class,USCA,34950
16868,5,2,Late delivery,1,2016-05-02 18:56:00.0000000,Second Class,USCA,33074
16869,6,2,Late delivery,1,2016-04-20 01:58:00.0000000,Second Class,USCA,32135
16870,5,2,Late delivery,1,2016-08-29 23:30:00.0000000,Second Class,USCA,41239
16871,5,2,Late delivery,1,2016-04-18 09:51:00.0000000,Second Class,USCA,32089
16872,3,2,Late delivery,1,2016-04-06 02:09:00.0000000,Second Class,USCA,31382
16873,2,2,Shipping on time,0,2016-08-20 19:18:00.0000000,Second Class,USCA,40816
16874,3,2,Late delivery,1,2016-08-21 17:54:00.0000000,Second Class,USCA,40812
16875,6,2,Late delivery,1,2016-04-24 16:19:00.0000000,Second Class,USCA,32450
16876,2,2,Shipping on time,0,2016-06-15 02:14:00.0000000,Second Class,USCA,36246
16877,3,2,Late delivery,1,2016-07-01 03:26:00.0000000,Second Class,USCA,37277
16878,6,2,Late delivery,1,2016-08-07 10:03:00.0000000,Second Class,USCA,39625
16879,3,2,Late delivery,1,2016-06-22 14:29:00.0000000,Second Class,USCA,36692
16880,2,2,Shipping on time,0,2016-07-21 07:05:00.0000000,Second Class,USCA,38726
16881,3,2,Late delivery,1,2016-05-11 02:59:00.0000000,Second Class,USCA,33782
16882,2,2,Shipping on time,0,2016-05-24 06:28:00.0000000,Second Class,USCA,34751
16883,4,2,Late delivery,1,2016-06-23 14:50:00.0000000,Second Class,USCA,36693
16884,5,2,Late delivery,1,2016-04-26 00:02:00.0000000,Second Class,USCA,32609
16885,6,2,Late delivery,1,2016-05-19 11:54:00.0000000,Second Class,USCA,34150
16886,5,2,Late delivery,1,2016-06-02 10:40:00.0000000,Second Class,USCA,35174
16887,4,2,Late delivery,1,2016-04-08 06:32:00.0000000,Second Class,USCA,31463
16888,5,2,Late delivery,1,2016-08-27 11:56:00.0000000,Second Class,USCA,41069
16889,6,2,Late delivery,1,2016-05-05 22:05:00.0000000,Second Class,USCA,33220
16890,6,2,Late delivery,1,2016-07-04 06:14:00.0000000,Second Class,USCA,37285
16891,2,2,Shipping on time,0,2016-04-29 05:37:00.0000000,Second Class,USCA,33036
16892,3,2,Late delivery,1,2016-05-09 14:12:00.0000000,Second Class,USCA,33677
16893,6,2,Late delivery,1,2016-06-02 17:30:00.0000000,Second Class,USCA,35125
16894,6,2,Late delivery,1,2016-04-21 16:30:00.0000000,Second Class,USCA,32245
16895,2,2,Shipping on time,0,2016-04-29 00:22:00.0000000,Second Class,USCA,33021
16896,4,2,Late delivery,1,2016-04-30 14:34:00.0000000,Second Class,USCA,32993
16897,5,2,Late delivery,1,2016-05-03 08:57:00.0000000,Second Class,USCA,33114
16898,3,2,Late delivery,1,2016-05-27 11:22:00.0000000,Second Class,USCA,34902
16899,2,2,Shipping on time,0,2016-04-21 17:12:00.0000000,Second Class,USCA,32521
16900,4,2,Late delivery,1,2016-08-03 03:02:00.0000000,Second Class,USCA,39468
16901,3,2,Late delivery,1,2016-05-29 07:10:00.0000000,Second Class,USCA,35027
16902,5,2,Late delivery,1,2016-04-26 12:17:00.0000000,Second Class,USCA,32644
16903,3,2,Late delivery,1,2016-06-07 01:22:00.0000000,Second Class,USCA,35627
16904,5,2,Late delivery,1,2016-07-22 19:21:00.0000000,Second Class,USCA,38624
16905,2,2,Shipping on time,0,2016-04-05 21:04:00.0000000,Second Class,USCA,31436
16906,4,2,Late delivery,1,2016-06-27 04:40:00.0000000,Second Class,USCA,36938
16907,6,2,Late delivery,1,2016-07-25 15:30:00.0000000,Second Class,USCA,38750
16908,5,2,Late delivery,1,2016-08-14 01:37:00.0000000,Second Class,USCA,40149
16909,6,2,Late delivery,1,2016-05-08 02:38:00.0000000,Second Class,USCA,33370
16910,5,2,Late delivery,1,2016-08-10 13:33:00.0000000,Second Class,USCA,39909
16911,4,2,Late delivery,1,2016-07-04 01:20:00.0000000,Second Class,USCA,37408
16912,3,2,Late delivery,1,2016-08-10 19:09:00.0000000,Second Class,USCA,40062
16967,5,2,Late delivery,1,2016-07-29 10:45:00.0000000,Second Class,USCA,39079
16968,4,2,Late delivery,1,2016-07-28 10:24:00.0000000,Second Class,USCA,39078
16969,5,2,Late delivery,1,2016-08-05 16:11:00.0000000,Second Class,USCA,39574
16970,4,2,Late delivery,1,2016-06-20 09:45:00.0000000,Second Class,USCA,36473
16971,5,2,Late delivery,1,2016-08-11 21:04:00.0000000,Second Class,USCA,39999
16972,4,2,Late delivery,1,2016-05-15 10:10:00.0000000,Second Class,USCA,34008
16973,5,2,Late delivery,1,2016-08-11 03:33:00.0000000,Second Class,USCA,39949
16974,2,2,Shipping on time,0,2016-04-21 13:42:00.0000000,Second Class,USCA,32511
16975,3,2,Late delivery,1,2016-07-20 11:38:00.0000000,Second Class,USCA,38602
16976,2,2,Shipping on time,0,2016-05-04 02:59:00.0000000,Second Class,USCA,33371
16977,2,2,Shipping on time,0,2016-07-12 02:22:00.0000000,Second Class,USCA,38096
17012,2,2,Shipping on time,0,2016-06-08 09:04:00.0000000,Second Class,USCA,35786
17013,6,2,Late delivery,1,2016-06-11 15:12:00.0000000,Second Class,USCA,35735
17014,5,2,Late delivery,1,2016-04-10 16:10:00.0000000,Second Class,USCA,31559
45913,2,1,Late delivery,1,2016-10-06 13:48:00.0000000,First Class,USCA,44020
45914,2,1,Late delivery,1,2016-05-11 19:58:00.0000000,First Class,USCA,33899
45915,2,1,Late delivery,1,2016-08-22 19:39:00.0000000,First Class,USCA,40954
45916,2,1,Late delivery,1,2016-04-27 10:11:00.0000000,First Class,USCA,32912
45917,2,1,Late delivery,1,2016-08-05 03:44:00.0000000,First Class,USCA,39744
45918,2,1,Late delivery,1,2016-04-27 09:08:00.0000000,First Class,USCA,32909
45919,2,1,Late delivery,1,2016-08-05 20:54:00.0000000,First Class,USCA,39793
45920,2,1,Late delivery,1,2016-07-17 10:15:00.0000000,First Class,USCA,38461
45921,2,1,Late delivery,1,2016-05-16 03:40:00.0000000,First Class,USCA,34195
45922,2,1,Late delivery,1,2016-06-14 08:43:00.0000000,First Class,USCA,36196
45923,2,1,Late delivery,1,2016-08-23 23:41:00.0000000,First Class,USCA,41034
45924,2,1,Late delivery,1,2016-07-23 08:50:00.0000000,First Class,USCA,38868
45925,2,1,Late delivery,1,2016-08-14 18:16:00.0000000,First Class,USCA,40402
45926,2,1,Late delivery,1,2016-06-29 23:56:00.0000000,First Class,USCA,37267
45927,2,1,Late delivery,1,2016-07-29 00:46:00.0000000,First Class,USCA,39256
45928,2,1,Late delivery,1,2016-09-10 22:36:00.0000000,First Class,USCA,42264
45929,2,1,Late delivery,1,2016-06-01 21:31:00.0000000,First Class,USCA,35342
45930,2,1,Late delivery,1,2016-06-02 02:46:00.0000000,First Class,USCA,35357
45931,2,1,Late delivery,1,2016-07-13 11:39:00.0000000,First Class,USCA,38191
45932,2,1,Late delivery,1,2016-08-05 05:50:00.0000000,First Class,USCA,39750
45933,2,1,Late delivery,1,2016-06-19 23:36:00.0000000,First Class,USCA,36581
45934,2,1,Late delivery,1,2016-06-11 03:59:00.0000000,First Class,USCA,35977
45935,2,1,Late delivery,1,2016-07-19 17:36:00.0000000,First Class,USCA,38619
45936,2,1,Late delivery,1,2016-05-15 00:00:00.0000000,First Class,USCA,34116
45937,2,1,Late delivery,1,2016-08-22 23:30:00.0000000,First Class,USCA,40965
45938,2,1,Late delivery,1,2016-06-24 22:22:00.0000000,First Class,USCA,36920
45939,2,1,Late delivery,1,2016-05-02 14:54:00.0000000,First Class,USCA,33268
45940,2,1,Late delivery,1,2016-08-22 20:00:00.0000000,First Class,USCA,40955
45941,2,1,Late delivery,1,2016-07-09 01:51:00.0000000,First Class,USCA,37889
45942,2,1,Late delivery,1,2016-05-03 14:44:00.0000000,First Class,USCA,33336
45968,2,1,Late delivery,1,2016-05-02 00:53:00.0000000,First Class,USCA,33228
45969,2,1,Late delivery,1,2016-04-30 00:33:00.0000000,First Class,USCA,33090
45970,2,1,Late delivery,1,2016-04-20 15:58:00.0000000,First Class,USCA,32449
45971,2,1,Late delivery,1,2016-11-05 15:52:00.0000000,First Class,USCA,46081
45995,2,1,Late delivery,1,2016-07-19 06:23:00.0000000,First Class,USCA,38587
45996,2,1,Late delivery,1,2016-07-14 00:58:00.0000000,First Class,USCA,38229
46004,2,1,Late delivery,1,2016-05-24 15:55:00.0000000,First Class,USCA,34778
46013,2,1,Late delivery,1,2016-05-29 12:56:00.0000000,First Class,USCA,35112
46014,2,1,Late delivery,1,2016-06-27 03:58:00.0000000,First Class,USCA,37073
46086,0,0,Shipping on time,0,2016-05-04 12:32:00.0000000,Same Day,USCA,33501
46087,0,0,Shipping on time,0,2016-06-21 16:40:00.0000000,Same Day,USCA,36801
46088,1,0,Late delivery,1,2016-06-18 04:56:00.0000000,Same Day,USCA,36562
46089,1,0,Late delivery,1,2016-04-14 06:57:00.0000000,Same Day,USCA,32115
46090,0,0,Shipping on time,0,2016-05-11 19:42:00.0000000,Same Day,USCA,34001
46091,1,0,Late delivery,1,2016-06-02 04:16:00.0000000,Same Day,USCA,35464
46092,1,0,Late delivery,1,2016-06-02 03:55:00.0000000,Same Day,USCA,35463
46099,0,0,Shipping on time,0,2016-07-16 18:55:00.0000000,Same Day,USCA,38520
46100,1,0,Late delivery,1,2016-05-31 07:25:00.0000000,Same Day,USCA,35336
46104,1,0,Late delivery,1,2016-04-24 10:06:00.0000000,Same Day,USCA,32809
46112,1,0,Late delivery,1,2016-08-16 09:35:00.0000000,Same Day,USCA,40617
46113,1,0,Late delivery,1,2016-08-06 00:08:00.0000000,Same Day,USCA,39905
42051,3,4,Shipping canceled,0,2016-04-16 05:39:00.0000000,Standard Class,USCA,32077
42052,4,4,Shipping canceled,0,2016-06-13 21:51:00.0000000,Standard Class,USCA,36028
42053,2,4,Shipping canceled,0,2016-06-18 00:18:00.0000000,Standard Class,USCA,36446
42054,3,4,Advance shipping,0,2016-08-22 16:41:00.0000000,Standard Class,USCA,40877
42055,5,4,Late delivery,1,2016-07-20 13:03:00.0000000,Standard Class,USCA,38469
42056,6,4,Late delivery,1,2016-04-24 23:20:00.0000000,Standard Class,USCA,32470
42057,5,4,Late delivery,1,2016-06-24 16:56:00.0000000,Standard Class,USCA,36699
42058,4,4,Shipping on time,0,2016-04-30 07:33:00.0000000,Standard Class,USCA,32973
42059,2,4,Advance shipping,0,2016-05-17 06:18:00.0000000,Standard Class,USCA,34271
42060,3,4,Advance shipping,0,2016-12-26 09:09:00.0000000,Standard Class,USCA,49487
42061,5,4,Late delivery,1,2016-05-05 13:30:00.0000000,Standard Class,USCA,33264
42062,5,4,Late delivery,1,2016-08-22 09:19:00.0000000,Standard Class,USCA,40719
42063,3,4,Advance shipping,0,2016-07-11 19:11:00.0000000,Standard Class,USCA,38007
42064,3,4,Advance shipping,0,2016-06-11 13:58:00.0000000,Standard Class,USCA,35937
42065,4,4,Shipping on time,0,2016-04-07 06:00:00.0000000,Standard Class,USCA,31393
42066,5,4,Late delivery,1,2016-08-07 10:13:00.0000000,Standard Class,USCA,39694
42067,6,4,Late delivery,1,2016-07-12 12:11:00.0000000,Standard Class,USCA,37850
